종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068930","디지털대성","KOSDAQ","기타서비스","8590","30","0.35","255034858010"
"033130","디지틀조선","KOSDAQ","디지털컨텐츠","3715","-120","-3.13","137883216905"
"105740","디케이락","KOSDAQ","기계·장비","11500","-250","-2.13","97173988000"
"263020","디케이앤디","KOSDAQ","화학","11800","50","0.43","91605783600"
"290550","디케이티","KOSDAQ","IT부품","23950","1500","6.68","197140425350"
"187220","디티앤씨","KOSDAQ","기타서비스","6950","-100","-1.42","78130635100"
"131180","딜리","KOSDAQ","정보기기","2820","340","13.71","82767000000"
"317120","라닉스","KOSDAQ","일반전기전자","10600","-50","-0.47","102295300000"
"042510","라온시큐어","KOSDAQ","소프트웨어","4895","-60","-1.21","189273721670"
"232680","라온테크","KOSDAQ","반도체","27300","1600","6.23","133387936500"
"300120","라온피플","KOSDAQ","IT부품","24650","300","1.23","259272545400"
"171120","라이온켐텍","KOSDAQ","화학","10050","-50","-0.50","189880438800"
"069540","라이트론","KOSDAQ","통신장비","5420","0","0.00","141255801520"
"347700","라이프시맨틱스","KOSDAQ","소프트웨어","14650","-50","-0.34","148254630500"
"214260","라파스","KOSDAQ","화학","41500","850","2.09","356471139000"
"171010","램테크놀러지","KOSDAQ","반도체","7070","50","0.71","82061263760"
"084650","랩지노믹스","KOSDAQ","기타서비스","34300","3200","10.29","392738327100"
"217500","러셀","KOSDAQ","기계·장비","4700","-80","-1.67","149516400000"
"033600","럭슬","KOSDAQ","운송장비·부품","179","0","0.00","9456230437"
"141080","레고켐바이오","KOSDAQ","기타서비스","55000","-300","-0.54","1326371090000"
"060300","레드로버","KOSDAQ","오락·문화","1830","0","0.00","48840480210"
"038390","레드캡투어","KOSDAQ","기타서비스","27100","0","0.00","232774908000"
"294140","레몬","KOSDAQ","화학","8420","-230","-2.66","311540000000"
"228670","레이","KOSDAQ","의료·정밀기기","31250","-1000","-3.10","415829187500"
"228850","레이언스","KOSDAQ","의료·정밀기기","13650","0","0.00","226467341100"
"281740","레이크머티리얼즈","KOSDAQ","화학","4410","-165","-3.61","289871716680"
"277810","레인보우로보틱스","KOSDAQ","기계·장비","21950","0","0.00","354167947300"
"215100","로보로보","KOSDAQ","디지털컨텐츠","4200","-55","-1.29","74753506800"
"090360","로보스타","KOSDAQ","기계·장비","25600","-150","-0.58","249600000000"
"108490","로보티즈","KOSDAQ","소프트웨어","15800","-150","-0.94","177765800000"
"900260","로스웰","KOSDAQ","금융","354","-6","-1.67","50190562500"
"067730","로지시스","KOSDAQ","컴퓨터서비스","9270","-120","-1.28","89677256940"
"071280","로체시스템즈","KOSDAQ","반도체","5760","-70","-1.20","88108433280"
"038060","루멘스","KOSDAQ","반도체","1345","-15","-1.10","64698627805"
"085370","루트로닉","KOSDAQ","의료·정밀기기","16550","-100","-0.60","430801299500"
"08537M","루트로닉3우C","KOSDAQ","의료·정밀기기","23350","-50","-0.21","10312364050"
